null2,bsA
-94195.883723,-94195.248855
-94408.676437,-94408.676437
-94048.647031,-94048.647031
-94574.880127,-94574.893589
-95470.185231,-95470.185231
-94719.945529,-94719.948765
-94575.212388,-94575.212387
-94843.627193,-94843.627198
-95231.665810,-95230.913770
-95257.962394,-95257.962394
-94252.442339,-94252.442339
-94004.590497,-94004.590496
-94221.497162,-94221.497162
-95077.893802,-95077.893802
-94486.688447,-94486.688447
-95083.141123,-95083.141123
-95706.936013,-95706.936013
-94395.465769,-94395.402983
-95471.779213,-95471.779213
-95152.321729,-95152.321729
-95346.327069,-95346.327069
-95203.710276,-95203.710275
-95526.017508,-95526.017503
-94436.421411,-94436.421411
-93906.808959,-93906.808959
-94787.373480,-94787.373480
-95284.238268,-95284.222711
-95799.010973,-95799.010973
-94187.279982,-94187.111588
-95614.991053,-95614.991053
-94851.116220,-94851.120513
-95150.491908,-95150.491908
-94339.164291,-94339.164291
-94617.340807,-94617.340807
-94856.320506,-94856.320506
-95116.492129,-95116.492130
-93998.486382,-93998.486382
-95206.072211,-95206.072211
-94856.058171,-94856.058171
-94479.145704,-94479.145710
-95105.920771,-95105.980561
-94901.485089,-94901.485091
-96225.601117,-96225.601117
-94705.993531,-94705.993531
-95461.636597,-95461.461497
-95182.455756,-95182.455756
-95069.966735,-95069.966735
-94816.113792,-94816.113793
-94280.425709,-94280.425708
-94389.508851,-94389.505550
-94488.535773,-94488.535773
-94938.209163,-94938.209163
-95574.515235,-95574.515233
-95453.994101,-95453.577638
-93994.998779,-93994.445442
-94519.549238,-94519.549238
-94535.046474,-94535.046474
-93863.923343,-93863.923343
-94593.457955,-94593.457958
-93691.012767,-93691.034904
-95739.703947,-95739.703953
-95260.816357,-95260.176594
-95713.813040,-95713.813040
-94393.192375,-94392.907280
-95159.195084,-95159.195084
-93815.117205,-93815.117205
-94877.525587,-94877.525588
-95278.382504,-95278.382504
-93717.107315,-93717.107315
-93940.029775,-93940.029776
-95478.648135,-95478.648135
-94950.553478,-94950.553478
-94915.397224,-94915.397224
-94395.686866,-94395.686866
-95475.779981,-95475.779981
-95971.712484,-95971.614446
-95400.779230,-95400.779231
-94566.059078,-94566.059078
-94532.480743,-94532.480743
-95972.608246,-95972.608246
-94418.807196,-94418.807196
-94868.238534,-94868.238533
-94749.023798,-94748.851241
-93988.417706,-93988.417706
-95349.262045,-95349.262045
-94887.929335,-94888.053919
-94359.330932,-94358.895035
-94734.166602,-94734.166601
-95523.361542,-95523.361542
-95413.938291,-95413.938291
-95201.885407,-95201.885407
-95527.485953,-95527.485953
-94704.504958,-94702.842826
-95245.930133,-95245.930134
-93257.305864,-93257.305937
-94005.969985,-94005.745898
-94705.414832,-94705.414830
-93251.784832,-93251.784833
-95361.959513,-95361.959511
-95164.539034,-95164.539035
-94318.793944,-94318.793944
-94527.870348,-94527.875650
-95078.347970,-95078.347970
-95826.819336,-95826.819336
-93598.557598,-93598.523105
-94510.082296,-94510.031284
-95480.636046,-95480.636046
-94204.365393,-94204.365393
-95091.811615,-95091.811613
-96065.089620,-96064.552363
-95037.998148,-95036.549504
-96086.380694,-96086.380746
-95225.830394,-95225.824580
-94047.717227,-94047.248670
-94223.175116,-94223.175116
-94496.176703,-94496.177018
-94999.586281,-94999.586283
-94250.341666,-94250.341666
-95426.759494,-95426.759494
-96177.098066,-96177.098068
-94054.187820,-94054.195670
-95285.528004,-95285.528004
-95117.736003,-95117.736004
-94998.812784,-94998.855616
-95193.389125,-95193.389125
-94375.600682,-94375.600683
-95611.871012,-95611.871012
-94884.997025,-94884.997025
-95996.242441,-95996.242441
-95439.090728,-95439.090728
-95104.623857,-95104.623857
-95005.438906,-95005.438904
-93678.845616,-93678.845617
-95669.615099,-95669.615099
-94402.428341,-94401.846449
-94741.553397,-94741.553398
-95307.186342,-95306.975612
-95018.837743,-95018.830629
-94075.609492,-94075.609492
-95049.093952,-95049.093952
-95889.260930,-95889.260931
-95042.889930,-95042.889796
-95312.476134,-95312.174272
-95163.427800,-95163.427881
-95300.887922,-95300.887922
-94960.281101,-94960.281101
-94647.722756,-94647.073270
-93738.791937,-93738.791938
-94982.056507,-94982.056507
-94879.098352,-94878.398411
-94977.395348,-94977.395348
-94923.292642,-94921.270461
-95484.658881,-95484.658881
-94709.908346,-94709.890965
-94627.943137,-94627.943051
-94907.916395,-94907.916395
-94976.744207,-94976.744207
-94453.216412,-94453.211053
-93546.015740,-93546.015740
-95764.868601,-95764.868095
-94738.639092,-94738.639092
-95042.658921,-95042.658921
-95427.654051,-95427.654050
-94722.975063,-94722.975063
-94514.876598,-94514.876587
-95091.855403,-95091.580517
-94425.389097,-94425.389096
-95263.442341,-95263.209926
-95315.897994,-95315.897997
-94132.090260,-94132.090260
-95794.829374,-95794.829374
-94338.574350,-94338.574350
-94729.001523,-94729.001523
-93280.289087,-93280.289085
-95458.255627,-95458.255627
-94019.753215,-94019.387526
-94573.336092,-94573.468065
-94009.032749,-94009.032749
-95245.346792,-95245.346792
-95471.359728,-95471.359727
-95960.384324,-95960.384324
-94906.666856,-94906.606035
-94232.116348,-94232.116348
-95423.551038,-95423.401015
-95811.104891,-95811.092332
-95437.868286,-95437.868285
-95334.258599,-95334.258599
-94913.913769,-94913.913769
-94009.439166,-94009.439166
-95172.289616,-95172.112115
-95731.781001,-95731.781001
-96080.427052,-96080.426377
-95111.401841,-95110.754780
-94874.398526,-94874.448734
-94306.547538,-94305.389515
-95323.841004,-95323.841004
-95464.854451,-95463.982887
-93609.376161,-93609.376161
-95460.633854,-95460.633856
-95438.940759,-95438.940759
-95719.520419,-95719.520419
-94834.739636,-94834.739636
-94576.582634,-94576.582638
-95522.110343,-95522.110343
-93949.081603,-93949.081603
-94591.631888,-94591.631888
-95395.352939,-95395.357845
-95045.704649,-95045.704649
-93930.630390,-93930.630390
-95213.848185,-95213.848185
-94593.751837,-94593.751837
-95540.823545,-95540.823545
-95528.864055,-95528.850715
-94364.220086,-94364.220085
-95451.810021,-95451.743397
-94914.276395,-94914.276395
-94280.175788,-94280.175787
-94306.829900,-94306.829901
-94148.551707,-94148.551707
-94873.350304,-94873.350304
-93914.165102,-93914.165102
-97017.867348,-97017.867348
-95423.351454,-95423.351454
-94128.987937,-94128.980557
-95239.744366,-95239.700463
-95170.552136,-95170.552136
-95360.366368,-95360.366368
-95013.060136,-95013.060136
-95191.389095,-95191.389095
-94814.097166,-94814.097167
-94401.098427,-94401.095737
-94987.936168,-94987.936168
-93970.623109,-93970.623109
-94789.420831,-94789.420831
-95001.884737,-95001.884737
-94598.973705,-94598.973705
-95003.949657,-95003.949657
-95505.597064,-95505.597064
-95163.075702,-95163.075702
-94264.421724,-94264.421724
-94954.807845,-94954.807349
-94708.788000,-94708.788000
-95018.435201,-95018.393133
-94360.201789,-94360.201788
-93888.922948,-93888.926888
-94671.287526,-94671.289522
-95364.130993,-95364.130993
-95646.972877,-95646.972876
-94686.642800,-94686.642807
-95673.465089,-95673.465090
-93748.259222,-93748.259223
-95156.254378,-95156.254378
-94447.694491,-94447.694491
-95153.698655,-95153.698655
-94539.695652,-94539.695652
-94323.699307,-94323.699307
-93771.564406,-93771.564407
-93458.303091,-93458.303091
-94710.919185,-94710.919187
-94521.547932,-94521.547932
-95855.088935,-95854.969893
-94856.736505,-94856.068952
-94440.992919,-94440.992917
-94647.172895,-94647.172895
-95303.071501,-95303.071501
-93680.371092,-93680.294820
-94909.861544,-94909.861544
-95790.206105,-95790.206105
-94287.160090,-94287.125528
-95081.328247,-95081.328247
-94628.488846,-94628.488846
-94536.593631,-94536.282517
-94976.402695,-94976.402695
-94650.667743,-94650.660605
-94742.721926,-94742.721926
-95102.451121,-95102.451121
-94399.840497,-94399.840497
-95760.549974,-95760.549969
-95353.942025,-95353.942025
-95551.468644,-95551.468644
-94290.628731,-94290.628731
-95068.563272,-95068.700164
-94635.678803,-94635.678804
-94148.531992,-94148.531992
-95178.750617,-95178.750617
-94735.480914,-94735.555516
-94732.977600,-94732.977600
-94771.110330,-94771.110331
-95055.446511,-95055.446495
-96008.491235,-96008.491235
-94675.988748,-94675.988748
-94541.036640,-94541.036640
-95243.306165,-95243.306165
-94429.501917,-94429.397237
-94605.353267,-94605.353267
-95512.826536,-95512.818508
-94451.052718,-94451.052718
-94382.037965,-94382.037965
-95621.240218,-95621.240219
-95551.567067,-95551.567067
-94332.845166,-94332.845166
-94426.132308,-94426.132308
-94747.850756,-94747.850756
-94287.814867,-94287.814867
-94821.662231,-94821.662231
-95066.108156,-95066.108156
-94670.958801,-94670.958802
-95602.774741,-95602.845038
-96623.857234,-96623.858890
-95358.214560,-95358.214560
-94255.439138,-94255.410574
-94736.826436,-94734.693555
-95524.855316,-95523.591104
-94343.432981,-94343.432354
-94810.221805,-94810.221805
-95448.683131,-95448.683131
-94240.180499,-94240.180503
-95526.161492,-95526.227715
-95353.961292,-95353.961292
-93509.102613,-93509.102613
-93733.053676,-93732.534922
-94354.546848,-94354.546848
-95062.632572,-95062.632572
-94719.401680,-94719.401680
-95916.061353,-95916.061353
-95830.503826,-95830.434156
-95114.328828,-95114.328828
-94893.654824,-94893.664874
-94862.530186,-94862.530189
-96224.894962,-96224.894962
-94386.630214,-94386.252461
-94913.574292,-94913.670335
-95400.817263,-95400.804101
-94403.746449,-94403.746449
-94081.439184,-94081.439184
-94920.702399,-94920.702399
-95562.295025,-95562.295025
-95016.377330,-95015.597490
-95442.325667,-95442.325667
-95984.667676,-95984.667673
-94319.336454,-94319.336452
-94373.009454,-94372.723463
-94977.611550,-94977.452255
-94606.902279,-94606.900284
-94528.669590,-94528.669590
-95373.513137,-95373.254706
-94311.329127,-94311.329127
-95337.592812,-95337.592812
-93852.272115,-93852.272115
-95231.429428,-95231.429427
-95304.994716,-95304.980133
-95196.232339,-95195.835715
-94620.180010,-94619.307079
-94969.531187,-94969.531191
-96160.549546,-96160.549546
-94827.958558,-94827.958558
-94408.436482,-94405.670444
-94445.620610,-94445.327153
-95197.603119,-95197.603127
-95635.641592,-95635.641593
-95350.255515,-95350.255516
-94927.652305,-94927.652305
-94316.055109,-94315.727409
-94333.728728,-94333.728728
-94831.355089,-94831.355088
-94826.125177,-94826.125177
-95140.384383,-95140.384383
-95037.875985,-95037.607849
-95126.280210,-95126.280209
-94758.271744,-94758.271744
-94747.298820,-94747.298820
-94339.351797,-94339.351797
-94320.441661,-94320.441662
-94874.913663,-94874.913664
-94070.880616,-94070.880615
-94745.530320,-94742.142479
-94259.400279,-94259.473696
-94828.747015,-94828.747015
-93928.446186,-93928.446186
-95274.392322,-95274.392324
-95484.067936,-95484.067936
-94733.863105,-94733.863105
-95715.897938,-95715.796355
-94509.461303,-94509.461304
-95438.769346,-95438.768553
-95014.869817,-95014.869816
-94196.798397,-94196.659573
-95084.318624,-95084.330231
-96009.243948,-96009.129073
-95666.173774,-95666.058328
-94185.402661,-94185.402661
-93701.437776,-93701.437776
-94570.641800,-94570.033152
-94833.989454,-94833.989454
-95336.007499,-95335.453887
-95299.224859,-95299.224857
-94042.044412,-94041.691649
-94527.825537,-94527.825537
-95603.622083,-95603.622083
-95724.538114,-95724.538115
-94306.901435,-94306.901435
-94675.651832,-94675.651832
-94382.647236,-94382.617015
-95488.838473,-95488.838473
-95654.936543,-95654.936543
-94770.939815,-94770.939815
-95074.295577,-95074.295577
-94664.100637,-94664.100637
-94813.918889,-94813.918889
-95308.495425,-95308.489173
-94986.769272,-94986.769272
-95382.171896,-95382.171894
-94568.777650,-94568.777651
-94577.124392,-94577.124392
-95186.587937,-95186.587938
-95059.061503,-95059.061503
-95501.984006,-95501.984006
-94778.407491,-94778.177530
-94466.331283,-94466.331282
-93729.401787,-93729.401784
-95315.084122,-95315.084119
-95531.520369,-95530.634086
-96158.938326,-96158.938326
-94747.367958,-94746.139406
-96446.324049,-96446.324050
-96542.874342,-96541.223110
-95462.474485,-95462.474424
-94581.801943,-94581.801943
-95231.744113,-95231.744113
-94210.739867,-94210.739868
-94978.698719,-94978.698719
-95236.308427,-95236.308427
-95825.082475,-95825.082475
-94449.659917,-94449.659917
-94986.159455,-94986.159454
-94479.642038,-94479.642037
-95071.348039,-95071.348039
-94267.738708,-94267.738708
-94231.097532,-94231.097532
-94398.994235,-94398.994237
-94000.816528,-94000.816528
-95706.731346,-95706.731346
-95066.080775,-95066.076698
-93881.023142,-93881.023142
-94988.521037,-94988.521037
-95094.581885,-95094.581885
-94632.630379,-94632.630379
-95046.331972,-95046.331972
-95144.114264,-95144.114264
-95214.931606,-95214.931602
-94932.067886,-94932.067886
-94320.051382,-94320.051382
-94999.106352,-94999.106354
-95124.629857,-95124.086396
-94495.441858,-94495.441858
-94802.438173,-94801.472587
-95867.538586,-95867.538586
-95373.942760,-95373.942760
-96818.957441,-96818.957442
-94918.686384,-94918.686384
-94881.281989,-94881.281988
-94084.491242,-94084.491243
-95234.603297,-95234.603334
-95578.633780,-95578.633040
-94528.984295,-94528.984296
-95040.013336,-95039.987997
-95875.578964,-95875.578961
-94725.257967,-94725.257967
-96140.033626,-96140.033626
-95314.818727,-95314.818727
-95037.501276,-95037.401634
-95161.380139,-95161.380139
-94309.666408,-94309.666410
-94092.598431,-94092.598431
-95057.781225,-95057.739554
-94550.893086,-94550.893085
-96257.941302,-96257.941302
-95818.257734,-95818.257734
-94045.343988,-94045.343988
-95252.295323,-95252.290038
-95190.514461,-95190.514461
-95321.888344,-95321.888343
-95165.828340,-95165.828340
-93970.049704,-93970.049704
-95187.296961,-95187.296962
-94736.340612,-94733.726427
-94423.392109,-94423.372336
-96068.230744,-96068.230744
-94185.743449,-94187.264719
-94341.752938,-94341.799697
-95149.221580,-95149.221580
-94014.187370,-94014.087428
-94491.470587,-94491.470586
-95129.324733,-95129.324733
-94423.013797,-94423.013797
-94856.597962,-94856.597962
-95903.630067,-95902.991165
-94539.662240,-94539.662240
-94572.335474,-94572.335474
